fold_id,train_start,train_end,test_start,test_end,sharpe_annualized,return_total,return_annualized,max_drawdown,hit_rate_bars,n_bars,bars_per_year,turnover_annualized,turnover_per_bar,turnover_total,n_trades,trade_win_rate,avg_holding_bars,avg_trade_pnl,n_active_pairs
0,2016-06-01,2017-05-31,2017-06-01,2017-08-29,1.3708798414932455,0.0024721014045538947,0.009214689580136604,-0.0022550540329813185,0.49911504424778763,814,3024,19.13218673218673,0.006326781326781327,5.15,54,0.46296296296296297,44.370370370370374,0.001157445170964826,20.0
1,2016-08-30,2017-08-29,2017-08-30,2017-11-28,-0.17806124604881965,-0.00038929887725946966,-0.0014454764206092152,-0.0032432477306481022,0.48788927335640137,814,3024,29.53415233415233,0.009766584766584766,7.95,83,0.3493975903614458,54.75903614457831,0.00012508771656980497,20.0
2,2016-11-29,2017-11-28,2017-11-29,2018-03-01,1.336477206102073,0.00364543007472351,0.013526238054472062,-0.0031962821098743266,0.48869565217391303,819,3024,25.476923076923075,0.008424908424908424,6.8999999999999995,70,0.5571428571428572,54.65714285714286,0.0014078804524521899,20.0
3,2017-03-02,2018-03-01,2018-03-02,2018-05-31,0.014072628171697684,2.6838333397449787e-05,9.909896507642735e-05,-0.006027181341830334,0.4711864406779661,819,3024,25.476923076923082,0.008424908424908426,6.9,75,0.5066666666666667,60.77333333333333,0.0003146515273534738,20.0
4,2017-06-01,2018-05-31,2018-06-01,2018-08-29,1.9111598726928463,0.008827179309421451,0.033187800402075585,-0.00749016004643277,0.5100775193798449,814,3024,26.190663390663392,0.008660933660933661,7.050000000000001,74,0.6081081081081081,63.87837837837838,0.002737317417725597,20.0
5,2017-08-30,2018-08-29,2018-08-30,2018-11-28,-0.1848766419975662,-0.001458119081149123,-0.005406181274314026,-0.016720225857623006,0.5023547880690737,814,3024,27.862407862407863,0.009213759213759214,7.5,77,0.5584415584415584,55.45454545454545,4.962630510206991e-05,20.0
6,2017-11-29,2018-11-28,2018-11-29,2019-03-04,0.13557046414321544,0.00032735307528097835,0.0012166531701534034,-0.006029072078960085,0.5,814,3024,15.974447174447175,0.0052825552825552825,4.3,44,0.5454545454545454,70.11363636363636,0.0005517692351699001,20.0
7,2018-03-02,2019-03-04,2019-03-05,2019-06-03,-1.1267700753325853,-0.004254979125831393,-0.015620919402004163,-0.011259672942644405,0.5091819699499165,819,3024,25.476923076923082,0.008424908424908426,6.9,73,0.4246575342465753,59.794520547945204,-0.0009282090836258714,20.0
8,2018-06-01,2019-06-03,2019-06-04,2019-08-30,0.056994118255448,0.00017051569181236736,0.0006336103449684494,-0.005269921701468894,0.4776386404293381,814,3024,30.834398034398035,0.010196560196560197,8.3,86,0.5348837209302325,40.7093023255814,0.0003003323913827284,20.0
9,2018-08-30,2019-08-30,2019-09-03,2019-11-29,1.899661486310559,0.0055135324540727115,0.020636493585358018,-0.004795629980488769,0.5176056338028169,814,3024,22.289926289926292,0.007371007371007372,6.000000000000001,64,0.421875,65.640625,0.001980949359665312,20.0
10,2018-11-29,2019-11-29,2019-12-02,2020-03-03,-1.467770935713586,-0.01004982859122483,-0.036828565135218816,-0.019313334047940334,0.4710017574692443,814,3024,31.577395577395578,0.010442260442260442,8.5,91,0.4065934065934066,48.83516483516483,-0.0019481990323728833,20.0
11,2019-03-05,2020-03-03,2020-03-04,2020-06-02,5.022621752660567,0.021922162347848717,0.08336170757103267,-0.003491911345583021,0.5620437956204379,819,3024,9.969230769230771,0.003296703296703297,2.7,28,0.7142857142857143,64.57142857142857,0.015942913283879645,20.0
12,2019-06-04,2020-06-02,2020-06-03,2020-08-31,-0.22966502986901433,-0.0007699684840554166,-0.0028400151188745504,-0.008287145529855322,0.48440065681444994,819,3024,23.81538461538462,0.007875457875457877,6.450000000000001,68,0.5735294117647058,53.64705882352941,0.00013218456128965463,20.0
13,2019-09-03,2020-08-31,2020-09-01,2020-11-30,-1.1808223014412165,-0.008728450473857619,-0.03204378960456844,-0.022302108519175134,0.496551724137931,814,3024,28.41965601965602,0.009398034398034398,7.65,79,0.43037974683544306,58.70886075949367,-0.0018713388822716856,20.0
14,2019-12-02,2020-11-30,2020-12-01,2021-03-03,1.0309513323009927,0.00449941020075495,0.016817611896384088,-0.005651462396595974,0.49646643109540634,814,3024,28.233906633906635,0.009336609336609337,7.6,81,0.5061728395061729,48.888888888888886,0.0013889060788739,20.0
15,2020-03-04,2021-03-03,2021-03-04,2021-06-02,-0.4600451529206198,-0.0017742821233246442,-0.006535563941545419,-0.009117794536824597,0.5023847376788553,819,3024,22.33846153846154,0.007387057387057388,6.050000000000001,64,0.515625,65.53125,-0.00019506199055273885,20.0
16,2020-06-03,2021-06-02,2021-06-03,2021-08-31,-0.27917871283660317,-0.0013307291996630388,-0.0049046664567146125,-0.008156396365272989,0.4724137931034483,819,3024,19.569230769230774,0.006471306471306473,5.300000000000001,57,0.543859649122807,74.49122807017544,-0.00014635817387885613,20.0
17,2020-09-01,2021-08-31,2021-09-01,2021-11-30,1.131843060038118,0.0050176133700547965,0.018767703188382168,-0.010992017679402832,0.49263502454991814,814,3024,22.475675675675678,0.007432432432432434,6.050000000000001,65,0.5076923076923077,66.44615384615385,0.001874428670128503,20.0
18,2020-12-01,2021-11-30,2021-12-01,2022-03-02,2.056053780838201,0.01639521278800582,0.0618846242637201,-0.013272666872463423,0.4823943661971831,819,3024,28.98461538461538,0.009584859584859584,7.85,80,0.6,44.3,0.004394840807547188,20.0
19,2021-03-04,2022-03-02,2022-03-03,2022-06-01,-0.7015968029649319,-0.004619224917351894,-0.016949820907963598,-0.01821621578937993,0.48194945848375453,819,3024,25.84615384615385,0.008547008547008548,7.0,72,0.6111111111111112,51.18055555555556,-0.0009867467749880784,20.0
20,2021-06-03,2022-06-01,2022-06-02,2022-08-31,-3.1604027907106387,-0.012745927172684746,-0.04626019113768376,-0.016901554404650576,0.4691119691119691,819,3024,18.46153846153846,0.006105006105006105,5.0,54,0.37037037037037035,73.0,-0.004499080268044638,20.0
21,2021-09-01,2022-08-31,2022-09-01,2022-11-30,1.5152301342425518,0.006996504957973215,0.02623978244593772,-0.00643709689832106,0.5052816901408451,814,3024,20.432432432432435,0.006756756756756757,5.5,60,0.43333333333333335,66.36666666666666,0.002587298439969418,20.0
