fold_id,train_start,train_end,test_start,test_end,sharpe_annualized,return_total,return_annualized,max_drawdown,hit_rate_bars,n_bars,bars_per_year,turnover_annualized,turnover_per_bar,turnover_total,n_trades,trade_win_rate,avg_holding_bars,avg_trade_pnl,n_active_pairs
0,2016-06-01,2017-05-31,2017-06-01,2017-08-29,-0.07351822766204569,-0.00018314230488314376,-0.0006802022802088192,-0.005407013361039881,0.503257328990228,814,3024,27.693544784453877,0.00915791824882734,7.454545454545455,42,0.47619047619047616,50.142857142857146,0.000276145537566165,11.0
1,2016-08-30,2017-08-29,2017-08-30,2017-11-28,1.6353817574428156,0.005235376678706993,0.019588000565442742,-0.004968776772137029,0.5034965034965035,814,3024,23.978557069466163,0.007929417020326112,6.454545454545455,36,0.5555555555555556,62.611111111111114,0.001948573869216481,11.0
2,2016-11-29,2017-11-28,2017-11-29,2018-03-01,0.6323148191655621,0.0021172810507483764,0.0078399614984197,-0.006879675732477053,0.5031645569620253,819,3024,36.0,0.011904761904761904,9.75,81,0.5432098765432098,42.333333333333336,0.0007676221143221513,16.0
3,2017-03-02,2018-03-01,2018-03-02,2018-05-31,-1.4128505312902857,-0.005395295890732843,-0.01977684758744691,-0.010724937491338404,0.47962382445141066,819,3024,26.256410256410255,0.008682675349342016,7.111111111111111,69,0.5362318840579711,62.333333333333336,-0.001027479694735979,18.0
4,2017-06-01,2018-05-31,2018-06-01,2018-08-29,-1.5460955370677163,-0.004498046679363599,-0.016608416718954744,-0.006528873637689947,0.4691358024691358,814,3024,32.457261088840035,0.01073322125953705,8.736842105263158,87,0.47126436781609193,51.0,-0.0006248023934712232,19.0
5,2017-08-30,2018-08-29,2018-08-30,2018-11-28,1.273422818856484,0.005583706803984567,0.02090113639412272,-0.007527788078403819,0.504746835443038,814,3024,36.00680400680401,0.011907011907011909,9.692307692307693,65,0.6307692307692307,45.738461538461536,0.0015208246547494786,13.0
6,2017-11-29,2018-11-28,2018-11-29,2019-03-04,0.8394075723897285,0.003078827449164434,0.011485694523289292,-0.007778731838595232,0.5067466266866567,814,3024,46.294462294462306,0.015309015309015312,12.461538461538463,84,0.5714285714285714,31.357142857142858,0.0008010967640381959,13.0
7,2018-03-02,2019-03-04,2019-03-05,2019-06-03,-1.6114714327696829,-0.006938288062357301,-0.025379954808166683,-0.01212390148992415,0.5080527086383602,819,3024,47.73626373626373,0.015785801500087213,12.928571428571427,94,0.4787234042553192,37.07446808510638,-0.0007020951460617737,14.0
8,2018-06-01,2019-06-03,2019-06-04,2019-08-30,-1.6878967843197517,-0.006448257031784532,-0.023746276663787813,-0.010623391863864962,0.494488188976378,814,3024,31.577395577395578,0.010442260442260442,8.5,62,0.46774193548387094,48.854838709677416,-0.0011078902719899202,14.0
9,2018-08-30,2019-08-30,2019-09-03,2019-11-29,-1.1937868892237318,-0.003380132468696284,-0.012499643265774907,-0.01151054283468178,0.5015337423312883,814,3024,37.52137592137593,0.01240786240786241,10.100000000000001,102,0.4215686274509804,38.72549019607843,-0.0003570699369900464,20.0
10,2018-11-29,2019-11-29,2019-12-02,2020-03-03,0.3459531314228724,0.001906631928969782,0.007101466989278604,-0.012472637303845069,0.45757071547420963,814,3024,43.34152334152335,0.014332514332514335,11.666666666666668,108,0.4537037037037037,36.879629629629626,0.00060057745719373,18.0
11,2019-03-05,2020-03-03,2020-03-04,2020-06-02,4.538116395162165,0.03073490064540607,0.11825976918995496,-0.004215358102432232,0.515702479338843,819,3024,25.27810650887574,0.008359162205316052,6.846153846153847,47,0.7021276595744681,40.51063829787234,0.008810977001529765,13.0
12,2019-06-04,2020-06-02,2020-06-03,2020-08-31,-0.1840625641919905,-0.0009740122878910684,-0.00359164022176639,-0.010765813282058945,0.515,819,3024,50.95384615384615,0.01684981684981685,13.799999999999999,109,0.47706422018348627,29.55045871559633,0.00012463707263330102,15.0
