arm,label,cost_bps,sharpe_annualized,return_annualized,return_total
classic,Classic cointegration,0.0,0.8643063922731815,0.02066466706945347,0.2064777141370211
classic,Classic cointegration,1.0,0.7220120896784481,0.01718593876029173,0.1692634834673683
classic,Classic cointegration,2.0,0.5796915138486544,0.013719025739064028,0.1331967156927949
classic,Classic cointegration,3.0,0.4373719790886289,0.010263888015512368,0.0982420430076667
classic,Classic cointegration,5.0,0.15284515125564702,0.0033887791743958395,0.03153292675162489
classic,Classic cointegration,7.5,-0.20232272871373463,-0.005139577905295067,-0.04618648843538753
classic,Classic cointegration,10.0,-0.556552490343727,-0.013595698684360946,-0.11805230118311971
autoencoder,Autoencoder,0.0,0.5649840575970474,0.007919817291838438,0.07507800328813641
autoencoder,Autoencoder,1.0,0.39415344918713713,0.005486214332225625,0.051490767803853865
autoencoder,Autoencoder,2.0,0.22317707596701658,0.00305846663960474,0.02842084277803858
autoencoder,Autoencoder,3.0,0.05210261020307841,0.0006365601756144201,0.005856886916512982
autoencoder,Autoencoder,5.0,-0.2901492414807179,-0.004189785052248429,-0.03779724519251104
autoencoder,Autoencoder,7.5,-0.7176631280969183,-0.010190108427942546,-0.08971132898990086
autoencoder,Autoencoder,10.0,-1.14414674025656,-0.0161544028688545,-0.13882548844417675
contrastive,Contrastive,0.0,0.9306964141536945,0.01850107977779536,0.18321039184112142
contrastive,Contrastive,1.0,0.8033392132236071,0.01592012373699303,0.15597821016802094
contrastive,Contrastive,2.0,0.6759195310763471,0.013345684623315535,0.12937255147297266
contrastive,Contrastive,3.0,0.5484575782993049,0.010777746040352643,0.10337900702666647
contrastive,Contrastive,5.0,0.2934878032677102,0.00566130508643492,0.05317227457343621
contrastive,Contrastive,7.5,-0.02510180936942615,-0.0006979710807357709,-0.006386975741243028
contrastive,Contrastive,10.0,-0.3432611462625546,-0.007017177871044833,-0.0625792590787908
