timestamp_utc,oos_return,turnover,equity
2017-06-01 13:30:00+00:00,0.0,0.0,1.0
2017-06-01 14:00:00+00:00,0.0,0.0,1.0
2017-06-01 14:30:00+00:00,0.0,0.0,1.0
2017-06-01 15:00:00+00:00,0.0,0.0,1.0
2017-06-01 15:30:00+00:00,0.0,0.0,1.0
2017-06-01 16:00:00+00:00,0.0,0.0,1.0
2017-06-01 16:30:00+00:00,0.0,0.0,1.0
2017-06-01 17:00:00+00:00,0.0,0.0,1.0
2017-06-01 17:30:00+00:00,0.0,0.0,1.0
2017-06-01 18:00:00+00:00,0.0,0.0,1.0
2017-06-01 18:30:00+00:00,0.0,0.0,1.0
2017-06-01 19:00:00+00:00,0.0,0.0,1.0
2017-06-01 19:30:00+00:00,0.0,0.0,1.0
2017-06-02 13:30:00+00:00,0.0,0.0,1.0
2017-06-02 14:00:00+00:00,0.0,0.0,1.0
2017-06-02 14:30:00+00:00,0.0,0.0,1.0
2017-06-02 15:00:00+00:00,0.0,0.0,1.0
2017-06-02 15:30:00+00:00,0.0,0.0,1.0
2017-06-02 16:00:00+00:00,0.0,0.0,1.0
2017-06-02 16:30:00+00:00,0.0,0.0,1.0
2017-06-02 17:00:00+00:00,0.0,0.0,1.0
2017-06-02 17:30:00+00:00,0.0,0.0,1.0
2017-06-02 18:00:00+00:00,0.0,0.0,1.0
2017-06-02 18:30:00+00:00,0.0,0.0,1.0
2017-06-02 19:00:00+00:00,0.0,0.0,1.0
2017-06-02 19:30:00+00:00,0.0,0.0,1.0
2017-06-05 13:30:00+00:00,0.0,0.0,1.0
2017-06-05 14:00:00+00:00,0.0,0.0,1.0
2017-06-05 14:30:00+00:00,0.0,0.0,1.0
2017-06-05 15:00:00+00:00,0.0,0.0,1.0
2017-06-05 15:30:00+00:00,0.0,0.0,1.0
2017-06-05 16:00:00+00:00,0.0,0.0,1.0
2017-06-05 16:30:00+00:00,0.0,0.0,1.0
2017-06-05 17:00:00+00:00,0.0,0.0,1.0
2017-06-05 17:30:00+00:00,0.0,0.0,1.0
2017-06-05 18:00:00+00:00,0.0,0.0,1.0
2017-06-05 18:30:00+00:00,0.0,0.0,1.0
2017-06-05 19:00:00+00:00,0.0,0.0,1.0
2017-06-05 19:30:00+00:00,0.0,0.0,1.0
2017-06-06 13:30:00+00:00,0.0,0.0,1.0
2017-06-06 14:00:00+00:00,0.0,0.0,1.0
2017-06-06 14:30:00+00:00,0.0,0.0,1.0
2017-06-06 15:00:00+00:00,0.0,0.0,1.0
2017-06-06 15:30:00+00:00,0.0,0.0,1.0
2017-06-06 16:00:00+00:00,0.0,0.0,1.0
2017-06-06 16:30:00+00:00,0.0,0.0,1.0
2017-06-06 17:00:00+00:00,0.0,0.0,1.0
2017-06-06 17:30:00+00:00,0.0,0.0,1.0
2017-06-06 18:00:00+00:00,0.0,0.0,1.0
2017-06-06 18:30:00+00:00,0.0,0.0,1.0
2017-06-06 19:00:00+00:00,0.0,0.0,1.0
2017-06-06 19:30:00+00:00,0.0,0.0,1.0
2017-06-07 13:30:00+00:00,0.0,0.0,1.0
2017-06-07 14:00:00+00:00,0.0,0.0,1.0
2017-06-07 14:30:00+00:00,0.0,0.0,1.0
2017-06-07 15:00:00+00:00,0.0,0.0,1.0
2017-06-07 15:30:00+00:00,0.0,0.0,1.0
2017-06-07 16:00:00+00:00,0.0,0.0,1.0
2017-06-07 16:30:00+00:00,0.0,0.0,1.0
2017-06-07 17:00:00+00:00,0.0,0.0,1.0
2017-06-07 17:30:00+00:00,0.0,0.0,1.0
2017-06-07 18:00:00+00:00,0.0,0.0,1.0
